clean_text,indexed_text
Vietnamese president Trn c Lng expressed his thanks to the Chinese government on May  for rescuing the Vietnamese on the imperiled ships  Residents and industries in Vietnam raised   million  VND      USD  for the families of the deceased fishermen  as well as providing  ton of rice  Trade unions encouraged workers to donate one day s salary to help storm victims  The Vietnamese embassy in India raised about      USD  and Vietnamese people living in Greece raised   million  VND      Euros  for storm victims  Ultimately   different organizations and people donated      USD  to the Vietnam Red Cross  The country s Ministry of Labour  Invalids and Social Affairs presented an award to the Vietnam News Agency in June  for its charitable donations  which included the distribution of   million  VND      USD  to storm victims  One fisherman claimed to survive for two weeks in the open seas before being rescued  although he later confessed that he was safely on another boat  and wanted his family to retain the disaster compensation  after the man revealed that he had lied  his family was able to retain the relief funds due to their poverty  The head of the Vietnam Institute of Meteorology  Hydrology and Environment resigned two weeks after Chanchu killed many fishermen because of inadequate warnings  Then  Deputy Prime Minister Nguyen Tan Dung ordered a review of the meteorological agency as a result  Within a few years after the typhoon  the meteorological agency began issuing more accurate and timely forecasts  After the many deaths of fishermen from Chanchu  the Vietnam government prevented any fishermen from leaving harbor during the passage of Typhoon Durian in November,"[3258, 479, 0, 201, 0, 1352, 19, 4752, 5, 1, 1052, 199, 9, 72, 10, 0, 1, 3258, 9, 1, 0, 507, 1053, 3, 5615, 4, 1287, 1220, 175, 6964, 1515, 10, 1, 2251, 2, 1, 5616, 4753, 11, 108, 11, 1928, 5617, 2, 4754, 1167, 0, 2085, 1353, 5, 6965, 35, 111, 8, 5618, 5, 590, 203, 2946, 1, 3258, 2668, 4, 559, 1220, 70, 1515, 3, 3258, 144, 575, 4, 4115, 1220, 175, 6964, 0, 10, 203, 2946, 1604, 286, 2443, 3, 144, 3259, 1515, 5, 1, 1287, 490, 842, 1, 457, 8, 1354, 2, 2444, 0, 3, 843, 1423, 1221, 22, 294, 5, 1, 1287, 631, 1929, 4, 323, 10, 29, 0, 6966, 23, 193, 1, 1168, 2, 175, 6964, 1515, 5, 203, 2946, 35, 5619, 1054, 5, 3632, 10, 38, 405, 4, 1, 491, 3633, 65, 94, 3260, 146, 17, 55, 5620, 12, 17, 7, 0, 9, 186, 1605, 3, 591, 19, 179, 5, 3634, 1, 2947, 4116, 33, 1, 339, 1355, 12, 17, 24, 0, 19, 179, 7, 467, 5, 3634, 1, 2669, 1516, 225, 5, 27, 3261, 1, 353, 2, 1, 1287, 2086, 2, 0, 0, 3, 1606, 3262, 38, 405, 33, 0, 410, 98, 4753, 129, 2, 0, 1816, 112, 4755, 1517, 989, 0, 2670, 0, 757, 6, 508, 2, 1, 1817, 1929, 11, 6, 354, 209, 6, 330, 85, 33, 1, 880, 1, 1817, 1929, 126, 0, 56, 4756, 3, 0, 6967, 33, 1, 98, 2252, 2, 4753, 18, 0, 1, 1287, 199, 2948, 167, 4753, 18, 758, 3635, 45, 1, 1930, 2, 880, 0, 4, 226]"
Historiography,[0]
Formation,[844]
Prison officials  fed up with Stroud s activities and their attendant publicity  intensified their efforts to transfer him out of Leavenworth  Stroud  however  discovered a Kansas law that forbade the transfer of prisoners married in Kansas  To this end  he married Jones by proxy  which infuriated the prison s administrators  who would not allow him to correspond with his wife  Prison officials were not the only ones perturbed with Stroud s marriage  his mother was also incensed  They had a close relationship  but Elizabeth Stroud strongly disapproved of the marriage to Jones  believing women were nothing but trouble for her son  Whereas previously she had been a strong advocate for her son  helping him with legal battles  she now argued against his application for parole  and became a major obstacle in his attempts to be released from the prison system  She moved away from Leavenworth and refused any further contact with him until her death in,"[1518, 1055, 5621, 63, 13, 5622, 8, 1356, 3, 27, 0, 3263, 4117, 27, 953, 5, 2253, 66, 61, 2, 0, 5622, 83, 1288, 6, 2671, 492, 12, 0, 1, 2253, 2, 2672, 881, 4, 2671, 5, 26, 121, 17, 881, 2087, 14, 0, 23, 0, 1, 1518, 8, 0, 41, 51, 36, 1056, 66, 5, 0, 13, 19, 458, 1518, 1055, 21, 36, 1, 69, 2088, 0, 13, 5622, 8, 684, 19, 560, 7, 30, 0, 37, 24, 6, 480, 685, 31, 1169, 5622, 2089, 6968, 2, 1, 684, 5, 2087, 2445, 272, 21, 1519, 31, 2949, 10, 34, 441, 1818, 663, 44, 24, 43, 6, 422, 2446, 10, 34, 441, 2447, 66, 13, 784, 1931, 44, 241, 2254, 104, 19, 4118, 10, 0, 3, 97, 6, 194, 5623, 4, 19, 1424, 5, 25, 119, 18, 1, 1518, 182, 44, 359, 459, 18, 0, 3, 1607, 167, 273, 1608, 13, 66, 141, 34, 280, 4]"
,[]
,[]
,[]
,[]
The forerunner of the League of Nations  the Inter  Parliamentary Union  was formed by the peace activists William Randal Cremer and Frdric Passy in   The organisation was international in scope  with a third of the members of parliaments  in the  countries that had parliaments  serving as members of the IPU by   Its aims were to encourage governments to solve international disputes by peaceful means  Annual conferences were held to help governments refine the process of international arbitration  Its structure consisted of a council headed by a president  which would later be reflected in the structure of the League,"[1, 3264, 2, 1, 176, 2, 1520, 1, 2255, 4757, 493, 7, 429, 14, 1, 1289, 2950, 379, 0, 0, 3, 0, 0, 4, 1, 3636, 7, 324, 4, 6969, 13, 6, 220, 2, 1, 187, 2, 5624, 4, 1, 759, 12, 24, 5624, 1932, 11, 187, 2, 1, 0, 14, 29, 5625, 21, 5, 3637, 4758, 5, 4759, 324, 3638, 14, 5626, 1222, 911, 0, 21, 251, 5, 590, 4758, 0, 1, 686, 2, 324, 0, 29, 733, 1223, 2, 6, 620, 2256, 14, 6, 479, 23, 51, 55, 25, 3265, 4, 1, 733, 2, 1, 176]"
From Chicago to Washington  DC the flight was uneventful  The  silvery sky giants  manned by their blue ribbon crews  flew over National Airport  now Ronald Reagan Washington National Airport  in formation at    pm and landed  The generals and crews stepped from their aircraft  LeMay waiting until he was smoking one of his signature cigars  Along with senior USAAF staff and reporters  wives and family were at the airport to greet the airmen  as well as a crowd of onlookers  Photographs were taken at the airport  then the airmen were whisked off to the Statler Hotel  now the Capital Hilton  In the lobby  the weary  grimy and stubble  bearded men were besieged for autographs  Some of them stayed up later to hear supper  club singer Hildegarde in the grand showroom  others went to bed to catch up on sleep,"[18, 1057, 5, 814, 2448, 1, 954, 7, 0, 1, 0, 2449, 3639, 0, 14, 27, 1103, 6970, 1710, 5627, 53, 142, 990, 241, 3266, 6971, 814, 142, 990, 4, 844, 16, 2673, 3, 2450, 1, 2451, 3, 1710, 5628, 18, 27, 423, 0, 2951, 141, 17, 7, 4760, 35, 2, 19, 4119, 5629, 150, 13, 2090, 0, 561, 3, 0, 4761, 3, 179, 21, 16, 1, 990, 5, 0, 1, 0, 11, 108, 11, 6, 1521, 2, 0, 2952, 21, 312, 16, 1, 990, 112, 1, 0, 21, 0, 168, 5, 1, 0, 1711, 241, 1, 991, 0, 4, 1, 5630, 1, 0, 0, 3, 0, 0, 173, 21, 4762, 10, 0, 67, 2, 86, 2452, 63, 55, 5, 2257, 0, 162, 1170, 0, 4, 1, 632, 6972, 525, 460, 5, 5631, 5, 3640, 63, 9, 3641]"
